OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge
1,NonResidential,Hotel,Mayflower park hotel,405 Olive way,Seattle,WA,98101.0,0659000030,7,DOWNTOWN,47.6122,-122.33798999999999,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,60.0,84.30000305,189.0,7456910.0,2003882.0,3946027.0,1276453.0,False,Compliant,249.98,2.83,89
2,NonResidential,Hotel,Paramount Hotel,724 Pine street,Seattle,WA,98101.0,0659000220,7,DOWNTOWN,47.613170000000004,-122.33393000000001,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,61.0,97.90000153,179.3999939,8664479.0,0.0,3242851.0,5145082.0,False,Compliant,295.86,2.86,20
5,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,Seattle,WA,98101.0,0659000640,7,DOWNTOWN,47.61412,-122.33663999999999,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,56.0,113.3000031,224.0,6946800.5,2214446.25,2768924.0,1811213.0,False,Compliant,286.43,4.67,90
10,NonResidential,Hotel,Camlin,1619 9th Avenue,Seattle,WA,98101.0,0660000825,7,DOWNTOWN,47.6139,-122.33283,1.0,11,83008,0,83008,Hotel,Hotel,81352.0,27.0,74.5,154.6999969,6062767.5,0.0,2811215.0,2947580.0,False,Compliant,176.14,2.12,90
11,NonResidential,Other,Paramount Theatre,911 Pine St,Seattle,WA,98101.0,0660000955,7,DOWNTOWN,47.61327,-122.33136,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,68.80000305,152.3000031,7067881.5,2276286.5,3636655.0,385189.0,False,Compliant,221.51,2.16,90
17,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,Seattle,WA,98104.0,0942000210,7,DOWNTOWN,47.60699,-122.33346,1.0,9,65009,0,65009,Hotel,Hotel,65009.0,48.0,97.80000305,149.8000031,6358719.5,1656352.5,1343000.0,3596705.0,False,Compliant,328.23,5.05,88
24,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,Seattle,WA,98104.0,0942000510,7,DOWNTOWN,47.60515,-122.33158999999999,1.0,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,,137.1000061,285.0,7877219.0,1776201.875,3764791.0,2065091.0,False,Compliant,273.02,4.75,109
28,SPS-District K-12,K-12 School,Graham Hill Elementary,5149 S. Graham St.,Seattle,WA,98118.0,1102000138,2,SOUTHEAST,47.545759999999994,-122.26853,1.0,2,56228,0,56228,K-12 School,K-12 School,58916.0,95.0,29.10000038,64.59999847,1713623.5,0.0,936955.0,602523.0,True,Error - Correct Default Data,38.53,0.69,55
29,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,Seattle,WA,98105.0,1142000755,4,NORTHEAST,47.65959,-122.31755,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,84.0,63.29999924,148.5,3673186.75,0.0,2266231.0,1397303.0,False,Compliant,90.01,1.02,15
31,NonResidential,Other,Seattle Honda,1015 & 1017 Olive Way,Seattle,WA,98101.0,0660001725,7,DOWNTOWN,47.615,-122.33081000000001,1.0,2,67224,0,67224,Automobile Dealership,Automobile Dealership,67224.0,,19.5,61.20000076,1310236.625,0.0,1310236.0,0.0,False,Compliant,9.13,0.14,86
32,NonResidential,Hotel,Homewood Suites,1011 Pike ST,Seattle,WA,98101.0,0660001832,7,EAST,47.613009999999996,-122.32928999999999,1.0,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,,46.29999924,58.79999924,5424942.0,0.0,572307.0,4755745.0,False,Compliant,256.57,1.62,25
34,SPS-District K-12,K-12 School,Meany Building,301/300 21st Ave. E.,Seattle,WA,98112.0,0688000090,3,Central,47.622659999999996,-122.30547,1.0,1,126351,0,126351,K-12 School,K-12 School,126351.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,Missing Data,0.0,0.0,61
35,NonResidential,Hotel,Hotel Five,2200 5th ave,Seattle,WA,98121.0,0697000170,7,DOWNTOWN,47.61558,-122.34186000000001,1.0,5,68410,16200,52210,Hotel,Hotel,47994.0,57.0,95.0,206.3000031,4557974.0,0.0,2346349.0,2110365.0,False,Compliant,128.44,1.88,38
36,SPS-District K-12,K-12 School,Jane Addams Middle,11051 34th Ave. N.E.,Seattle,WA,98125.0,0752000170,5,NORTH,47.70994,-122.29301000000001,1.0,2,160645,0,160645,K-12 School,K-12 School,164229.0,75.0,47.5,75.69999695,7800349.5,0.0,1947601.0,4831572.0,True,Error - Correct Default Data,270.18,1.68,67
37,SPS-District K-12,K-12 School,John Hay Elementary,201 Garfield St.,Seattle,WA,98109.0,0809000005,7,MAGNOLIA / QUEEN ANNE,47.6329,-122.35172,1.0,2,51582,0,51582,K-12 School,K-12 School,55166.0,,0.0,0.0,0.0,0.0,1496816.0,0.0,False,Missing Data,10.43,0.2,27
38,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,4649 Sunnyside Ave. N.,Seattle,WA,98070.0,0825049008,4,LAKE UNION,47.6641,-122.33118,1.0,3,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,,69.80000305,115.90000149999999,4703690.0,0.0,1352843.0,2793077.0,False,Compliant,157.77,1.81,110
40,NonResidential,Hotel,Silver Cloud University,5036 25th Ave NE,Seattle,WA,98105.0,0925049117,4,NORTHEAST,47.66583,-122.29965,1.0,4,81871,0,81871,Hotel,Hotel,81871.0,29.0,82.19999695,164.8999939,6731281.5,0.0,3016399.0,3652169.0,False,Compliant,215.0,2.63,22
41,NonResidential,Self-Storage Facility,08781-University Village,2746 Ne 45th St Suite 100,Seattle,WA,98105.0,0925049330,4,NORTHEAST,47.66172,-122.29598,1.0,2,110356,0,110356,Self-Storage Facility,Self-Storage Facility,26225.0,,12.39999962,35.5,326223.0938,0.0,281265.0,37100.0,False,Compliant,3.93,0.04,61
50,SPS-District K-12,K-12 School,Lawton Elementary,4000 27th Ave. W.,Seattle,WA,98199.0,0369000400,7,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1.0,2,54986,0,54986,K-12 School,K-12 School,54986.0,97.0,32.79999924,83.19999695,1802471.375,0.0,1217589.0,432690.0,False,Compliant,31.47,0.57,26
51,SPS-District K-12,K-12 School,Eckstein Middle,3003 N.E. 75th St.,Seattle,WA,98115.0,0425049022,4,NORTHEAST,47.682520000000004,-122.29498000000001,1.0,2,175565,0,175565,K-12 School,K-12 School,182861.0,88.0,40.09999847,60.40000153,7329817.5,0.0,1599684.0,4799443.0,True,Error - Correct Default Data,266.05,1.52,66
52,NonResidential,Small- and Mid-Sized Office,SBC52,5305 Shilshole Ave NW,Seattle,WA,98107.0,0467000429,6,BALLARD,47.66587,-122.38476000000001,1.0,2,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,55586.0,57.0,68.90000153,165.8999939,6536359.5,0.0,4291585.0,1894876.0,False,Compliant,130.56,1.38,55
53,NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,2524 16th Ave S,Seattle,WA,98144.0,0570000340,2,GREATER DUWAMISH,47.58034,-122.31132,1.0,2,52554,0,52554,"Office, Other - Education",Office,51029.0,83.0,53.5,112.3000031,3150635.5,0.0,1579749.0,1371582.0,False,Compliant,83.86,1.6,116
54,NonResidential,K-12 School,Blanchet High School,8200 Wallingford Ave. N,Seattle,WA,98103.0,0625049002,6,NORTHWEST,47.68891,-122.33553,1.0,3,175015,0,175015,K-12 School,K-12 School,175015.0,95.0,45.09999847,80.40000153,7886505.5,0.0,2679739.0,4315001.0,False,Compliant,247.85,1.42,62
