PrimaryPropertyType,Neighborhood,LargestPropertyUseType,ComplianceStatus,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions,BuildingAge
hotel,DOWNTOWN,Hotel,Compliant,1.0,12,88434,0,88434,88434.0,60.0,7456910.0,249.98,89
hotel,DOWNTOWN,Hotel,Compliant,1.0,11,103566,15064,88502,83880.0,61.0,8664479.0,295.86,20
hotel,DOWNTOWN,Hotel,Compliant,1.0,10,61320,0,61320,61320.0,56.0,6946800.5,286.43,90
hotel,DOWNTOWN,Hotel,Compliant,1.0,11,83008,0,83008,81352.0,27.0,6062767.5,176.14,90
other,DOWNTOWN,Other - Entertainment/Public Assembly,Compliant,1.0,8,102761,0,102761,102761.0,,7067881.5,221.51,90
hotel,DOWNTOWN,Hotel,Compliant,1.0,9,65009,0,65009,65009.0,48.0,6358719.5,328.23,88
mixeduseproperty,DOWNTOWN,Social/Meeting Hall,Compliant,1.0,5,57452,0,57452,16442.0,,7877219.0,273.02,109
ktwelveschool,SOUTHEAST,K-12 School,Error - Correct Default Data,1.0,2,56228,0,56228,58916.0,95.0,1713623.5,38.53,55
hotel,NORTHEAST,Hotel,Compliant,1.0,6,88592,30586,58006,58006.0,84.0,3673186.75,90.01,15
other,DOWNTOWN,Automobile Dealership,Compliant,1.0,2,67224,0,67224,67224.0,,1310236.625,9.13,86
hotel,EAST,Hotel,Compliant,1.0,8,158676,30301,128375,112676.0,,5424942.0,256.57,25
ktwelveschool,Central,K-12 School,Missing Data,1.0,1,126351,0,126351,126351.0,,0.0,0.0,61
hotel,DOWNTOWN,Hotel,Compliant,1.0,5,68410,16200,52210,47994.0,57.0,4557974.0,128.44,38
ktwelveschool,NORTH,K-12 School,Error - Correct Default Data,1.0,2,160645,0,160645,164229.0,75.0,7800349.5,270.18,67
ktwelveschool,MAGNOLIA / QUEEN ANNE,K-12 School,Missing Data,1.0,2,51582,0,51582,55166.0,,0.0,10.43,27
smallandmidsizedoffice,LAKE UNION,Office,Compliant,1.0,3,87262,0,87262,40943.0,,4703690.0,157.77,110
hotel,NORTHEAST,Hotel,Compliant,1.0,4,81871,0,81871,81871.0,29.0,6731281.5,215.0,22
selfstoragefacility,NORTHEAST,Self-Storage Facility,Compliant,1.0,2,110356,0,110356,26225.0,,326223.0938,3.93,61
ktwelveschool,MAGNOLIA / QUEEN ANNE,K-12 School,Compliant,1.0,2,54986,0,54986,54986.0,97.0,1802471.375,31.47,26
ktwelveschool,NORTHEAST,K-12 School,Error - Correct Default Data,1.0,2,175565,0,175565,182861.0,88.0,7329817.5,266.05,66
smallandmidsizedoffice,BALLARD,Office,Compliant,1.0,2,94900,0,94900,55586.0,57.0,6536359.5,130.56,55
smallandmidsizedoffice,GREATER DUWAMISH,Office,Compliant,1.0,2,52554,0,52554,51029.0,83.0,3150635.5,83.86,116
ktwelveschool,NORTHWEST,K-12 School,Compliant,1.0,3,175015,0,175015,175015.0,95.0,7886505.5,247.85,62
selfstoragefacility,DOWNTOWN,Self-Storage Facility,Compliant,1.0,3,70586,0,70586,38439.0,,2331573.25,45.43,105
largeoffice,DOWNTOWN,Office,Compliant,1.0,5,168115,0,168115,103362.0,78.0,9536161.0,66.48,43
other,DOWNTOWN,Other - Mall,Compliant,1.0,2,57428,0,57428,51747.0,,1239429.75,33.26,96
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,1.0,8,59400,0,59400,34947.0,14.0,5242479.5,35.36,106
hotel,DOWNTOWN,Hotel,Compliant,1.0,20,98634,10043,88591,83591.0,71.0,5078816.0,59.19,86
hotel,DOWNTOWN,Hotel,Compliant,1.0,7,71150,0,71150,41340.0,98.0,5348309.0,134.38,31
hotel,DOWNTOWN,Hotel,Compliant,1.0,7,122810,0,122810,88360.0,99.0,6088417.5,227.18,108
hotel,LAKE UNION,Hotel,Compliant,1.0,5,113173,42546,70627,70627.0,86.0,5428403.5,144.79,57
hotel,LAKE UNION,Hotel,Compliant,1.0,7,150453,34735,115718,107547.0,84.0,6835263.5,199.95,16
hotel,LAKE UNION,Hotel,Compliant,1.0,6,116300,28200,88100,88490.0,80.0,5941927.0,162.39,19
hotel,MAGNOLIA / QUEEN ANNE,Hotel,Compliant,1.0,6,155602,36744,118858,155602.0,81.0,6849826.5,152.76,18
ktwelveschool,EAST,K-12 School,Compliant,1.0,3,56072,0,56072,56072.0,76.0,3800842.5,146.34,105
hotel,MAGNOLIA / QUEEN ANNE,Hotel,Compliant,1.0,4,122942,44891,78051,78051.0,94.0,5387530.0,171.64,17
smallandmidsizedoffice,CENTRAL,Office,Compliant,1.0,2,54984,0,54984,54984.0,71.0,3630147.25,87.98,54
hotel,LAKE UNION,Hotel,Compliant,1.0,6,84103,20732,63371,63371.0,74.0,3787499.0,67.06,8
ktwelveschool,SOUTHWEST,K-12 School,Missing Data,1.0,2,53352,0,53352,65568.0,,0.0,4.19,68
hotel,EAST,Hotel,Compliant,1.0,7,76631,0,76631,76631.0,71.0,7250730.5,262.75,108
retailstore,LAKE UNION,Retail Store,Compliant,1.0,2,58320,0,58320,72072.0,96.0,1243027.75,39.06,87
other,MAGNOLIA / QUEEN ANNE,Other,Compliant,1.0,2,52000,0,52000,52000.0,,2682242.75,101.83,54
other,MAGNOLIA / QUEEN ANNE,Other,Compliant,1.0,1,60696,0,60696,108000.0,,875943.3125,6.11,88
smallandmidsizedoffice,MAGNOLIA / QUEEN ANNE,Office,Compliant,0.0,2,66240,2352,63888,45900.0,,4192107.75,29.04,30
smallandmidsizedoffice,MAGNOLIA / QUEEN ANNE,Office,Compliant,1.0,4,76213,25930,50283,48546.0,68.0,3647345.75,48.76,46
hotel,MAGNOLIA / QUEEN ANNE,Hotel,Compliant,1.0,6,96910,36934,59976,59976.0,56.0,5274523.0,152.14,14
hotel,NORTHEAST,Hotel,Compliant,2.0,4,50017,0,50017,50017.0,53.0,5528580.5,191.2,54
ktwelveschool,DELRIDGE,K-12 School,Missing Data,1.0,3,74468,0,74468,75364.0,,0.0,11.84,17
ktwelveschool,EAST,K-12 School,Compliant,1.0,3,67743,0,67743,67743.0,34.0,3036464.0,78.85,93
ktwelveschool,EAST,K-12 School,Compliant,1.0,6,194104,0,194104,194104.0,100.0,7204080.0,243.23,108
smallandmidsizedoffice,SOUTHEAST,Office,Compliant,1.0,3,99433,35752,63681,63681.0,63.0,4980737.5,34.14,13
ktwelveschool,SOUTHEAST,K-12 School,Missing Data,1.0,2,58933,0,58933,60725.0,,0.0,16.36,25
ktwelveschool,GREATER DUWAMISH,K-12 School,Error - Correct Default Data,1.0,1,130862,0,130862,134446.0,61.0,7300977.5,238.48,59
ktwelveschool,SOUTHEAST,K-12 School,Error - Correct Default Data,1.0,3,59955,0,59955,59955.0,93.0,1749171.25,20.48,27
ktwelveschool,MAGNOLIA / QUEEN ANNE,K-12 School,Error - Correct Default Data,1.0,2,93218,0,93218,93218.0,86.0,3216155.0,84.75,52
other,NORTHEAST,Other,Compliant,1.0,4,56521,0,56521,49000.0,,6367210.0,44.32,75
other,NORTHEAST,Other,Compliant,1.0,2,206934,0,206934,119146.0,,4384625.5,133.58,87
hotel,NORTHWEST,Hotel,Compliant,1.0,4,51390,0,51390,51390.0,89.0,3616214.0,127.29,15
ktwelveschool,NORTHWEST,K-12 School,Error - Correct Default Data,1.0,2,131013,0,131013,131909.0,88.0,4290831.5,124.92,53
hotel,NORTHWEST,Hotel,Compliant,1.0,3,69138,0,69138,70609.0,78.0,3323400.5,89.02,14
ktwelveschool,LAKE UNION,K-12 School,Missing Data,1.0,3,66588,0,66588,66588.0,,0.0,14.67,25
hotel,DOWNTOWN,Hotel,Compliant,1.0,5,190980,0,190980,190980.0,98.0,6505995.0,142.39,112
ktwelveschool,Ballard,K-12 School,Error - Correct Default Data,1.0,2,55513,0,55513,59097.0,93.0,1598852.625,10.55,25
other,DOWNTOWN,Other,Compliant,1.0,4,61156,0,61156,42755.0,,9550716.0,176.75,10
other,DOWNTOWN,Museum,Compliant,1.0,4,72820,13820,59000,58000.0,,2095175.25,46.26,106
hotel,MAGNOLIA / QUEEN ANNE,Hotel,Compliant,1.0,4,162222,14200,148022,113702.0,76.0,8016521.0,228.4,20
ktwelveschool,SOUTHEAST,K-12 School,Error - Correct Default Data,1.0,4,289588,0,289588,289588.0,90.0,9542598.0,170.84,26
university,EAST,College/University,Compliant,1.0,3,63330,0,63330,64820.0,,3284214.5,74.33,101
other,GREATER DUWAMISH,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Compliant,1.0,1,67356,0,67356,68359.0,,8086930.5,204.08,66
ktwelveschool,SOUTHEAST,K-12 School,Error - Correct Default Data,1.0,3,78804,0,78804,78804.0,92.0,2677620.75,56.82,15
ktwelveschool,CENTRAL,K-12 School,Error - Correct Default Data,1.0,3,66994,0,66994,66994.0,79.0,2579774.5,41.74,14
ktwelveschool,GREATER DUWAMISH,K-12 School,Error - Correct Default Data,1.0,3,98357,0,98357,98357.0,88.0,3783580.25,94.64,16
smallandmidsizedoffice,GREATER DUWAMISH,Office,Compliant,1.0,1,54765,0,54765,25765.0,,4503671.5,61.21,58
other,GREATER DUWAMISH,Other - Lodging/Residential,Compliant,1.0,5,89821,0,89821,46483.0,,2220796.5,100.46,7
university,MAGNOLIA / QUEEN ANNE,College/University,Compliant,1.0,2,52611,0,52611,52611.0,,4390158.0,104.26,36
residencehall,MAGNOLIA / QUEEN ANNE,Residence Hall/Dormitory,Compliant,1.0,4,139600,37500,102100,135520.0,89.0,4800620.5,129.39,15
ktwelveschool,NORTH,K-12 School,Compliant,1.0,2,236758,0,236758,238550.0,96.0,9287467.0,222.78,5
ktwelveschool,NORTHWEST,K-12 School,Error - Correct Default Data,1.0,3,62526,0,62526,62526.0,96.0,2192411.0,54.07,14
smallandmidsizedoffice,GREATER DUWAMISH,Office,Compliant,1.0,3,64015,0,64015,30000.0,21.0,3375016.25,49.58,9
other,NORTH,Other/Specialty Hospital,Compliant,1.0,3,54224,0,54224,47012.0,,7668810.0,231.53,52
retailstore,NORTH,Retail Store,Compliant,1.0,4,124342,0,124342,122000.0,76.0,8729918.0,66.3,51
other,NORTHWEST,Financial Office,Compliant,1.0,3,55442,0,55442,28636.0,72.0,3313397.0,83.7,20
ktwelveschool,BALLARD,K-12 School,Error - Correct Default Data,1.0,2,242795,0,242795,242795.0,80.0,9708318.0,123.71,17
selfstoragefacility,EAST,Self-Storage Facility,Compliant,1.0,5,84870,0,84870,85521.0,,1617801.25,51.11,106
ktwelveschool,SOUTHEAST,K-12 School,Error - Correct Default Data,1.0,2,173185,0,173185,173185.0,79.0,7034167.5,242.36,64
ktwelveschool,DELRIDGE,K-12 School,Error - Correct Default Data,1.0,1,145341,0,145341,139069.0,75.0,6337972.0,206.01,53
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,4,114297,0,114297,114297.0,61.0,2415462.5,69.44,112
ktwelveschool,BALLARD,K-12 School,Missing Data,1.0,1,160270,0,160270,160270.0,,0.0,229.38,57
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,234144,0,234144,234144.0,87.0,7874958.5,297.43,79
retailstore,DELRIDGE,Retail Store,Compliant,1.0,1,64984,0,64984,65425.0,72.0,3016373.5,35.78,50
ktwelveschool,DELRIDGE,K-12 School,Error - Correct Default Data,1.0,1,46797,0,46797,46797.0,86.0,2380144.5,73.47,58
ktwelveschool,CENTRAL,K-12 School,Missing Data,1.0,3,136188,0,136188,136188.0,,0.0,170.9,53
other,BALLARD,Other,Compliant,1.0,3,56000,0,56000,56000.0,,2088978.125,59.34,43
ktwelveschool,SOUTHEAST,K-12 School,Error - Correct Default Data,1.0,2,67371,0,67371,67371.0,92.0,2260359.75,46.36,12
selfstoragefacility,SOUTHWEST,Self-Storage Facility,Compliant,1.0,2,52088,0,52088,52088.0,,1576122.875,48.99,47
ktwelveschool,LAKE UNION,K-12 School,Error - Correct Default Data,1.0,3,127776,0,127776,127776.0,75.0,4998584.5,80.08,6
hotel,LAKE UNION,Hotel,Compliant,1.0,5,123920,30000,93920,123920.0,79.0,9676783.0,309.6,18
other,LAKE UNION,Museum,Compliant,1.0,1,50000,0,50000,43000.0,,7942537.5,225.69,116
warehouse,MAGNOLIA / QUEEN ANNE,Non-Refrigerated Warehouse,Compliant,1.0,2,50292,0,50292,42345.0,,430473.6875,3.0,90
ktwelveschool,BALLARD,K-12 School,Error - Correct Default Data,1.0,2,67235,0,67235,67235.0,89.0,2443194.0,49.12,17
smallandmidsizedoffice,NORTHWEST,Office,Compliant,1.0,2,91130,0,91130,57968.0,,10005492.0,175.77,59
ktwelveschool,SOUTHWEST,K-12 School,Error - Correct Default Data,1.0,3,58118,0,58118,59014.0,97.0,1519074.75,21.29,25
hotel,NORTHWEST,Hotel,Compliant,1.0,4,64893,0,64893,64893.0,70.0,6211749.5,208.26,48
ktwelveschool,NORTH,K-12 School,Missing Data,1.0,2,52792,0,52792,55480.0,,0.0,0.0,27
ktwelveschool,GREATER DUWAMISH,K-12 School,Error - Correct Default Data,1.0,1,70762,0,70762,70762.0,87.0,4138032.75,168.88,91
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,1.0,3,44558,0,44558,34416.0,78.0,1722053.0,28.27,116
distributioncenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,2,179161,0,179161,117476.0,,10168523.0,96.43,92
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,2,58640,0,58640,40831.0,,4327563.5,27.39,51
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,0.0,4,79600,0,79600,79600.0,34.0,2411402.25,16.81,100
ktwelveschool,LAKE UNION,K-12 School,Error - Correct Default Data,1.0,4,241066,0,241066,241066.0,79.0,8886716.0,270.97,19
other,NORTH,Parking,Compliant,1.0,6,419848,335109,84739,335109.0,,9238992.0,162.41,8
mixeduseproperty,MAGNOLIA / QUEEN ANNE,Multifamily Housing,Compliant,1.0,4,110785,0,110785,58563.0,,10864032.0,92.91,14
ktwelveschool,DELRIDGE,K-12 School,Error - Correct Default Data,1.0,1,71714,0,71714,71714.0,87.0,2470597.75,36.24,17
warehouse,LAKE UNION,Non-Refrigerated Warehouse,Compliant,1.0,3,75397,8161,67236,67236.0,91.0,571637.5,9.63,25
seniorcarecommunity,DOWNTOWN,Senior Care Community,Compliant,1.0,5,102796,12611,90185,55259.0,,10281401.0,193.94,17
ktwelveschool,SOUTHWEST,K-12 School,Error - Correct Default Data,1.0,2,208981,0,208981,208981.0,80.0,9030149.0,207.79,14
ktwelveschool,NORTHEAST,K-12 School,Compliant,1.0,2,55653,0,55653,55500.0,98.0,1597907.25,72.88,88
smallandmidsizedoffice,NORTH,Office,Compliant,1.0,5,50759,0,50759,47079.0,62.0,3321734.0,49.09,44
worshipfacility,NORTHEAST,Worship Facility,Compliant,1.0,2,56772,0,56772,56772.0,46.0,2762805.5,84.57,64
worshipfacility,NORTHEAST,Worship Facility,Compliant,1.0,3,103000,0,103000,103000.0,42.0,5391782.0,149.93,64
ktwelveschool,NORTHEAST,K-12 School,Error - Correct Default Data,1.0,3,75174,0,75174,75174.0,77.0,3011741.75,71.86,15
ktwelveschool,MAGNOLIA / QUEEN ANNE,K-12 School,Error - Correct Default Data,1.0,3,75214,0,75214,75214.0,88.0,2457326.25,43.98,13
ktwelveschool,SOUTHWEST,K-12 School,Error - Correct Default Data,1.0,3,134918,0,134918,134918.0,91.0,4135198.25,69.42,11
ktwelveschool,CENTRAL,K-12 School,Error - Correct Default Data,1.0,2,64414,0,64414,65310.0,67.0,2453255.5,16.0,25
